Year,Temperature,Uncertainty
1900.2890173410408,-0.6262626262626263,0.29962719531277854
1901.4450867052024,-0.6565656565656566,0.2997460372859657
1902.0231213872837,-0.7171717171717171,0.3054702380966966
1902.601156069364,-0.7777777777777777,0.3104705787872057
1903.4682080924856,-0.8484848484848486,0.295873180341084
1904.913294797688,-0.7777777777777777,0.306542547348172
1905.7803468208087,-0.7272727272727275,0.2999076318655223
1908.092485549133,-0.6767676767676774,0.3021108188816384
1910.1156069364165,-0.6565656565656566,0.3068754958232496
1912.1387283236995,-0.666666666666667,0.3018129990846316
1913.294797687861,-0.7171717171717171,0.29892569353092785
1914.450867052023,-0.666666666666667,0.30093354419458557
1915.8959537572252,-0.595959595959596,0.2963166092404614
1918.2080924855493,-0.5555555555555554,0.3041016960290156
1920.8092485549132,-0.5353535353535355,0.2952204627355278
1923.121387283237,-0.5151515151515147,0.29709617262857896
1925.4335260115608,-0.4949494949494948,0.3005618402466588
1927.1676300578035,-0.4848484848484844,0.3032915339357149
1929.768786127168,-0.5050505050505052,0.2953513276304994
1931.5028901734104,-0.5050505050505052,0.30456976681495307
1932.6589595375724,-0.5353535353535355,0.30272850944676577
1934.393063583815,-0.5151515151515147,0.30595334364902727
1935.549132947977,-0.4848484848484844,0.2899213887318862
1936.9942196531792,-0.4444444444444446,0.2982776620015537
1939.3063583815028,-0.4444444444444446,0.30104814786304057
1941.329479768786,-0.4545454545454541,0.2994390898066586
1943.9306358381505,-0.4343434343434342,0.3038334405840977
1945.6647398843927,-0.4444444444444446,0.300710384025608
1946.820809248555,-0.4242424242424238,0.29525306883744323
1948.2658959537573,-0.3939393939393936,0.2931814831643564
1949.71098265896,-0.404040404040404,0.30167076184709113
1950.578034682081,-0.4343434343434342,0.299778978460918
1952.312138728324,-0.4646464646464645,0.30067694116042887
1953.7572254335264,-0.4545454545454541,0.30273481268440156
1955.2023121387283,-0.4343434343434342,0.30063922042640645
1956.647398843931,-0.4141414141414143,0.2981309648149642
1958.3815028901736,-0.404040404040404,0.2958725259392983
1960.1156069364165,-0.3939393939393936,0.30281178841806783
1961.5606936416184,-0.4242424242424238,0.29333945987737475
1962.7167630057804,-0.4646464646464645,0.300986306500989
1963.0057803468208,-0.5252525252525251,0.29918544251117557
1963.8728323699424,-0.5858585858585856,0.3000607334973696
1965.606936416185,-0.5555555555555554,0.30410430729739446
1966.763005780347,-0.5050505050505052,0.2929720776883464
1968.4971098265896,-0.5050505050505052,0.29972671676769325
1969.364161849711,-0.4747474747474749,0.2987748829319065
1970.2312138728323,-0.4444444444444446,0.2924210778737218
1971.9653179190752,-0.404040404040404,0.29370571628633896
1973.9884393063585,-0.3737373737373737,0.30996705275421943
1976.0115606936415,-0.3838383838383841,0.2970372376926318
1977.7456647398844,-0.333333333333333,0.20430229995567128
1979.1907514450868,-0.2828282828282829,0.20115516168797004
1980.3468208092488,-0.2323232323232318,0.2034753956167364
1982.369942196532,-0.262626262626263,0.20122903273581103
1982.9479768786127,-0.3232323232323235,0.19968451115339372
1983.2369942196533,-0.3636363636363633,0.20293066024423292
1984.1040462427743,-0.2929292929292924,0.19698843111866055
1985.2601156069368,-0.2525252525252526,0.20066354361973412
1986.705202312139,-0.1818181818181816,0.19778953937250704
1987.8612716763007,-0.1212121212121211,0.19776646989167845
1989.5953757225436,-0.0707070707070709,0.20024308074804925
1990.7514450867047,-0.1111111111111107,0.1995402738977859
1991.9075144508672,-0.191919191919192,0.19820822990692158
1991.9075144508672,-0.2727272727272725,0.20080546995716608
1991.9075144508672,-0.3232323232323235,0.20043648100906045
1992.485549132948,-0.2525252525252526,0.20074723921222543
1993.352601156069,-0.2222222222222223,0.19850395457062317
1993.9306358381505,-0.1717171717171712,0.2011921503626584
1995.3757225433528,-0.0808080808080804,0.19926455320525435
1996.242774566474,-0.0101010101010103,0.20147182693398907
1997.398843930636,0.0505050505050501,0.19899724170864802
1999.1329479768788,0.1010101010101012,0.20045691784398328
2000.2890173410408,0.1414141414141418,0.2005708823568048
2001.1560693641616,0.191919191919192,0.19336322759433638
2003.179190751445,0.2424242424242422,0.20075333059618433
2004.913294797688,0.262626262626263,0.20487260757642145
